@relation 'train3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E10.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.2-E8.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O4.0-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C82-Llast-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.Remove-R2-3,5-12,14-17,19,22-27,29,31-33,36-38,40,42-43,45-46,48-49,51-53,56,59-60,64-66,70-80-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R15-precision6'

@attribute LotFrontage numeric
@attribute Neighborhood {CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU,Blueste}
@attribute OverallQual numeric
@attribute YearRemodAdd numeric
@attribute ExterQual {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute BsmtFinSF1 numeric
@attribute TotalBsmtSF numeric
@attribute HeatingQC numeric
@attribute X1stFlrSF numeric
@attribute GrLivArea numeric
@attribute KitchenQual numeric
@attribute TotRmsAbvGrd numeric
@attribute Fireplaces numeric
@attribute GarageFinish {RFn,Unf,Fin,'No garage'}
@attribute GarageCars {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute GarageArea numeric
@attribute OpenPorchSF numeric
@attribute SalePrice numeric

@data
101,NridgHt,8,2006,'\'(2.8-3.1]\'',0,1158,1,1158,2376,3,9,1,RFn,'\'(2.8-3.2]\'',853,154,325300
57,IDOTRR,7,1950,'\'(3.7-inf)\'',0,637,1,1108,1108,3,6,1,Unf,'\'(0.8-1.2]\'',280,0,139400
75,CollgCr,8,2002,'\'(2.8-3.1]\'',0,1777,1,1795,1795,3,7,1,RFn,'\'(1.6-2]\'',534,159,230000
44,MeadowV,5,1976,'\'(3.7-inf)\'',840,1040,4,1060,1060,4,6,1,Unf,'\'(1.6-2]\'',572,110,129900
69,Sawyer,5,2001,'\'(3.7-inf)\'',188,1060,1,1060,1060,3,6,1,Unf,'\'(0.8-1.2]\'',270,90,154000
110,NridgHt,8,2007,'\'(2.8-3.1]\'',0,1566,1,1600,1600,3,7,1,RFn,'\'(2.8-3.2]\'',890,56,256300
60,NAmes,5,2000,'\'(3.7-inf)\'',234,900,4,900,900,3,5,0,Unf,'\'(1.6-2]\'',576,32,134800
98,NridgHt,8,2008,'\'(2.8-3.1]\'',1218,1704,1,1704,1704,3,7,1,RFn,'\'(2.8-3.2]\'',772,50,306000
47,NAmes,5,1997,'\'(3.7-inf)\'',1277,1484,4,1600,1600,4,6,2,RFn,'\'(0.8-1.2]\'',319,258,207500
60,BrkSide,4,1950,'\'(3.7-inf)\'',0,520,2,520,520,2,4,0,Unf,'\'(0.8-1.2]\'',240,0,68500
50,IDOTRR,4,1950,'\'(3.7-inf)\'',0,649,4,649,1317,4,6,0,Unf,'\'(0.8-1.2]\'',250,54,40000
69,Sawyer,5,2006,'\'(3.7-inf)\'',0,1228,3,1228,1228,3,6,0,Unf,'\'(0.8-1.2]\'',271,65,149350
85,CollgCr,8,2007,'\'(2.8-3.1]\'',0,1234,1,1234,1234,3,7,0,RFn,'\'(1.6-2]\'',484,30,179900
70,NAmes,5,1959,'\'(3.7-inf)\'',1018,1398,3,1700,1700,3,6,1,RFn,'\'(1.6-2]\'',447,38,165500
60,NridgHt,9,2005,'\'(-inf-1.3]\'',1153,1561,1,1561,1561,1,6,1,Fin,'\'(1.6-2]\'',556,47,277500
108,NridgHt,8,2005,'\'(2.8-3.1]\'',0,1117,1,1132,2452,3,9,1,Fin,'\'(2.8-3.2]\'',691,32,309000
112,CollgCr,5,1995,'\'(3.7-inf)\'',0,1097,1,1097,1097,4,6,0,Unf,'\'(1.6-2]\'',672,64,145000
74,NAmes,5,1990,'\'(3.7-inf)\'',1213,1297,3,1297,1297,4,5,1,Fin,'\'(1.6-2]\'',498,0,153000
68,NAmes,5,2007,'\'(3.7-inf)\'',731,1057,4,1057,1057,3,5,0,Unf,'\'(0.8-1.2]\'',246,52,109000
65,Edwards,4,1955,'\'(3.7-inf)\'',0,0,4,1152,1152,2,6,0,'No garage','\'(-inf-0.4]\'',0,0,82000
84,NAmes,6,1965,'\'(3.7-inf)\'',643,1088,1,1324,1324,4,6,1,RFn,'\'(1.6-2]\'',440,138,160000
115,Timber,5,1959,'\'(3.7-inf)\'',967,1350,3,1328,1328,4,5,2,RFn,'\'(0.8-1.2]\'',308,104,170000
69,SawyerW,5,1983,'\'(3.7-inf)\'',747,840,3,884,884,3,5,0,RFn,'\'(1.6-2]\'',504,0,144000
69,CollgCr,5,1980,'\'(3.7-inf)\'',280,938,4,938,938,4,5,0,Unf,'\'(0.8-1.2]\'',308,0,130250
70,NAmes,5,1959,'\'(3.7-inf)\'',179,1150,1,1150,1150,4,6,0,RFn,'\'(0.8-1.2]\'',300,0,141000
61,NridgHt,9,2005,'\'(-inf-1.3]\'',456,1752,1,1752,1752,1,6,1,RFn,'\'(1.6-2]\'',576,82,319900
48,Mitchel,7,2003,'\'(2.8-3.1]\'',1351,1434,1,1518,2149,3,6,1,RFn,'\'(1.6-2]\'',670,43,239686
84,Somerst,8,2006,'\'(2.8-3.1]\'',24,1656,1,1656,1656,3,7,0,RFn,'\'(2.8-3.2]\'',826,146,249700
33,OldTown,4,2008,'\'(3.7-inf)\'',0,736,3,736,1452,4,8,0,'No garage','\'(-inf-0.4]\'',0,0,113000
66,Sawyer,5,1966,'\'(3.7-inf)\'',763,955,1,955,955,4,6,0,Unf,'\'(0.8-1.2]\'',386,0,127000
69,Gilbert,6,1997,'\'(3.7-inf)\'',182,794,3,794,1470,4,6,0,Fin,'\'(1.6-2]\'',388,75,177000
52,BrkSide,6,1950,'\'(3.7-inf)\'',0,816,4,816,1176,4,6,1,Unf,'\'(1.6-2]\'',528,0,114500
110,IDOTRR,5,1963,'\'(1.9-2.2]\'',104,816,4,816,816,4,5,0,Unf,'\'(1.6-2]\'',516,0,110000
60,NAmes,5,1955,'\'(3.7-inf)\'',384,384,4,1360,1360,4,6,1,Unf,'\'(1.6-2]\'',572,50,130000
100,NAmes,6,1964,'\'(3.7-inf)\'',490,1425,3,1425,1425,4,7,1,RFn,'\'(1.6-2]\'',576,0,180500
24,Somerst,8,2000,'\'(2.8-3.1]\'',649,970,1,983,1739,3,7,0,Fin,'\'(1.6-2]\'',480,0,172500
89,CollgCr,7,2004,'\'(2.8-3.1]\'',0,860,1,860,1720,3,7,0,RFn,'\'(1.6-2]\'',565,70,196500
60,CollgCr,5,1972,'\'(3.7-inf)\'',632,780,1,780,780,4,4,0,Unf,'\'(0.8-1.2]\'',352,0,124900
63,SawyerW,6,2004,'\'(3.7-inf)\'',941,1158,1,1158,1158,3,5,0,Unf,'\'(1.6-2]\'',576,50,158000
60,IDOTRR,5,1996,'\'(3.7-inf)\'',0,530,4,581,1111,2,6,0,Unf,'\'(0.8-1.2]\'',288,0,101000
44,NridgHt,8,2006,'\'(2.8-3.1]\'',24,1370,1,1370,1370,3,6,1,RFn,'\'(1.6-2]\'',484,49,202500
50,OldTown,7,1950,'\'(3.7-inf)\'',0,576,3,902,1710,4,9,0,Unf,'\'(1.6-2]\'',480,11,140000
69,CollgCr,7,1998,'\'(3.7-inf)\'',739,1057,1,1057,2034,3,8,0,RFn,'\'(1.6-2]\'',645,36,219500
76,NridgHt,8,2005,'\'(2.8-3.1]\'',0,1143,1,1143,2473,3,9,1,RFn,'\'(2.8-3.2]\'',852,151,317000
69,NAmes,7,1989,'\'(3.7-inf)\'',912,1947,4,2207,2207,4,7,1,RFn,'\'(1.6-2]\'',576,0,180000
72,CollgCr,7,2003,'\'(2.8-3.1]\'',1013,1453,1,1479,1479,3,7,0,RFn,'\'(1.6-2]\'',558,29,226000
47,OldTown,4,1950,'\'(3.7-inf)\'',0,747,4,747,747,4,4,0,Unf,'\'(0.8-1.2]\'',220,0,80000
81,ClearCr,7,1953,'\'(2.8-3.1]\'',603,1304,4,1304,2287,4,7,1,Fin,'\'(1.6-2]\'',667,21,225000
69,Mitchel,4,2006,'\'(3.7-inf)\'',565,845,4,845,845,4,4,0,Unf,'\'(1.6-2]\'',360,0,129500
74,Gilbert,7,1998,'\'(3.7-inf)\'',0,832,3,885,1718,4,7,1,Fin,'\'(1.6-2]\'',427,94,185000
85,NAmes,5,2003,'\'(3.7-inf)\'',320,1086,3,1086,1086,4,6,0,Unf,'\'(1.6-2]\'',490,0,144900
60,OldTown,3,1950,'\'(2.8-3.1]\'',0,840,3,840,1605,4,8,0,Unf,'\'(0.8-1.2]\'',379,0,107400
21,MeadowV,4,1973,'\'(3.7-inf)\'',462,462,4,526,988,4,5,0,Unf,'\'(0.8-1.2]\'',297,101,91000
69,NAmes,4,1956,'\'(3.7-inf)\'',228,952,1,952,952,4,4,0,Unf,'\'(0.8-1.2]\'',283,0,135750
50,BrkSide,5,2001,'\'(3.7-inf)\'',336,672,4,1072,1285,4,6,0,Unf,'\'(0.8-1.2]\'',240,0,127000
72,Sawyer,4,1968,'\'(3.7-inf)\'',0,1768,4,1768,1768,4,8,0,'No garage','\'(-inf-0.4]\'',0,0,136500
60,OldTown,5,1981,'\'(3.7-inf)\'',0,440,3,682,1230,4,5,0,Unf,'\'(1.6-2]\'',440,0,110000
100,NAmes,6,1968,'\'(3.7-inf)\'',448,896,4,1182,2142,3,8,1,Fin,'\'(0.8-1.2]\'',509,72,193500
32,Mitchel,6,1998,'\'(3.7-inf)\'',1201,1237,1,1337,1337,4,5,0,Fin,'\'(1.6-2]\'',405,199,153500
78,Somerst,8,2007,'\'(3.7-inf)\'',33,1563,1,1563,1563,3,6,1,RFn,'\'(2.8-3.2]\'',758,99,245000
80,NAmes,5,1960,'\'(3.7-inf)\'',0,1065,3,1065,1065,4,6,0,Unf,'\'(1.6-2]\'',461,0,126500
69,Gilbert,7,1996,'\'(3.7-inf)\'',0,384,3,804,1474,4,7,1,Fin,'\'(1.6-2]\'',400,72,168500
121,NoRidge,8,1992,'\'(2.8-3.1]\'',0,1288,1,1301,2417,3,9,1,Unf,'\'(1.6-2]\'',462,82,260000
122,Gilbert,6,2005,'\'(2.8-3.1]\'',0,684,1,684,1560,3,6,1,Fin,'\'(1.6-2]\'',400,38,174000
40,Somerst,6,2009,'\'(2.8-3.1]\'',0,612,1,612,1224,3,4,0,RFn,'\'(1.6-2]\'',528,234,164500
105,IDOTRR,3,1982,'\'(1.9-2.2]\'',0,1013,4,1013,1526,2,6,0,'No garage','\'(-inf-0.4]\'',0,0,85000
60,CollgCr,4,1995,'\'(3.7-inf)\'',588,990,1,990,990,4,5,0,'No garage','\'(-inf-0.4]\'',0,0,123600
60,NAmes,4,1950,'\'(3.7-inf)\'',0,0,4,1040,1040,4,4,0,Unf,'\'(1.6-2]\'',420,29,109900
85,NAmes,5,1961,'\'(3.7-inf)\'',600,1235,4,1235,1235,4,6,0,Unf,'\'(1.6-2]\'',480,0,98600
80,Crawfor,5,2006,'\'(3.7-inf)\'',713,876,1,964,964,4,5,0,Unf,'\'(1.6-2]\'',432,0,163500
60,OldTown,6,1998,'\'(3.7-inf)\'',1046,1214,1,1260,2291,4,9,1,Unf,'\'(1.6-2]\'',506,0,133900
69,CollgCr,6,1997,'\'(3.7-inf)\'',648,824,1,905,1786,3,7,0,RFn,'\'(1.6-2]\'',684,162,204750
69,Gilbert,6,1993,'\'(-inf-1.3]\'',310,680,3,680,1470,4,6,1,Fin,'\'(1.6-2]\'',420,63,185000
78,CollgCr,7,1999,'\'(2.8-3.1]\'',1162,1588,1,1588,1588,3,6,0,RFn,'\'(1.6-2]\'',472,29,214000
73,Edwards,4,1965,'\'(3.7-inf)\'',520,960,4,960,960,4,6,0,Fin,'\'(0.8-1.2]\'',432,0,94750
85,Edwards,5,1950,'\'(3.7-inf)\'',108,458,2,835,835,4,5,0,Unf,'\'(0.8-1.2]\'',366,0,83000
77,NAmes,4,1959,'\'(3.7-inf)\'',569,950,2,1225,1225,4,6,0,'No garage','\'(-inf-0.4]\'',0,0,128950
69,NWAmes,6,2001,'\'(3.7-inf)\'',1200,1610,3,1610,1610,3,6,2,RFn,'\'(1.6-2]\'',480,68,205000
77,SawyerW,6,1985,'\'(2.8-3.1]\'',0,741,4,977,1732,3,7,1,Fin,'\'(1.6-2]\'',476,46,178000
64,SawyerW,5,1979,'\'(3.7-inf)\'',0,0,4,1535,1535,4,8,0,Unf,'\'(1.6-2]\'',410,0,118964
94,CollgCr,7,2009,'\'(3.7-inf)\'',0,1226,1,1226,1226,3,6,0,RFn,'\'(2.8-3.2]\'',740,36,198900
69,IDOTRR,7,1950,'\'(3.7-inf)\'',224,1040,1,1226,1818,4,7,2,Unf,'\'(0.8-1.2]\'',240,0,169500
60,OldTown,4,1995,'\'(3.7-inf)\'',0,641,3,1047,1047,4,6,0,Unf,'\'(0.8-1.2]\'',273,0,100000
50,OldTown,5,1950,'\'(3.7-inf)\'',104,789,1,789,789,4,5,0,Unf,'\'(0.8-1.2]\'',250,0,115000
85,IDOTRR,5,2005,'\'(3.7-inf)\'',0,793,4,997,1517,2,7,0,'No garage','\'(-inf-0.4]\'',0,0,115000
105,NWAmes,6,1977,'\'(3.7-inf)\'',705,1844,1,1844,1844,4,7,1,RFn,'\'(1.6-2]\'',546,122,190000
75,Edwards,6,1972,'\'(3.7-inf)\'',444,994,3,1216,1855,4,7,0,Unf,'\'(0.8-1.2]\'',325,0,136900
69,Gilbert,7,2000,'\'(3.7-inf)\'',250,384,1,774,1430,4,7,1,Fin,'\'(1.6-2]\'',400,0,180000
77,CollgCr,7,2007,'\'(2.8-3.1]\'',984,1264,1,1282,2696,1,10,1,Fin,'\'(2.8-3.2]\'',792,184,383970
69,Crawfor,6,1953,'\'(3.7-inf)\'',35,1809,4,2259,2259,3,7,2,Unf,'\'(1.6-2]\'',450,120,217000
61,Crawfor,6,2002,'\'(3.7-inf)\'',774,1028,1,1436,2320,3,9,1,Unf,'\'(0.8-1.2]\'',180,0,259500
69,Sawyer,5,1962,'\'(3.7-inf)\'',170,1092,4,1092,1092,4,6,1,Unf,'\'(0.8-1.2]\'',288,20,139000
74,Edwards,5,2007,'\'(3.7-inf)\'',0,1125,3,1125,1125,4,5,0,Unf,'\'(1.6-2]\'',430,64,155000
90,SawyerW,7,1990,'\'(3.7-inf)\'',1470,1673,3,1699,3222,3,11,2,Unf,'\'(2.8-3.2]\'',594,0,320000
65,CollgCr,6,2006,'\'(2.8-3.1]\'',0,728,1,728,1456,3,8,1,Fin,'\'(1.6-2]\'',390,24,163990
69,ClearCr,6,1969,'\'(3.7-inf)\'',938,938,1,988,988,4,4,2,Unf,'\'(1.6-2]\'',540,130,180000
50,IDOTRR,4,1950,'\'(3.7-inf)\'',0,732,3,772,1123,4,4,0,Unf,'\'(0.8-1.2]\'',264,0,100000
75,NAmes,6,1958,'\'(3.7-inf)\'',570,1080,3,1080,1080,4,5,0,Unf,'\'(0.8-1.2]\'',288,0,136000
55,SawyerW,6,1993,'\'(2.8-3.1]\'',300,1199,1,1199,1199,3,5,0,RFn,'\'(1.6-2]\'',530,63,153900
48,NWAmes,6,1998,'\'(3.7-inf)\'',0,1362,4,1586,1586,4,7,1,Unf,'\'(1.6-2]\'',435,0,181000
60,IDOTRR,6,1982,'\'(3.7-inf)\'',490,520,3,520,754,4,5,0,'No garage','\'(-inf-0.4]\'',0,0,84500
69,NPkVill,6,1976,'\'(3.7-inf)\'',120,1078,4,958,958,4,5,1,RFn,'\'(1.6-2]\'',440,205,128000
55,OldTown,5,1950,'\'(3.7-inf)\'',116,672,1,840,840,4,5,1,'No garage','\'(-inf-0.4]\'',0,0,87000
69,NAmes,6,1966,'\'(3.7-inf)\'',512,660,4,660,1348,4,6,1,RFn,'\'(1.6-2]\'',453,108,155000
69,NAmes,5,1991,'\'(3.7-inf)\'',567,1008,4,1053,1053,1,6,0,RFn,'\'(1.6-2]\'',750,80,150000
88,NAmes,7,1966,'\'(3.7-inf)\'',445,924,1,1216,2157,3,8,2,Fin,'\'(1.6-2]\'',487,66,226000
69,Gilbert,6,2000,'\'(2.8-3.1]\'',695,992,1,1022,2054,3,7,1,RFn,'\'(1.6-2]\'',390,48,244000
75,NAmes,5,2002,'\'(3.7-inf)\'',405,1063,3,1327,1327,3,7,0,Unf,'\'(1.6-2]\'',624,0,150750
69,Timber,8,2002,'\'(2.8-3.1]\'',1005,1267,1,1296,1296,3,6,0,Fin,'\'(1.6-2]\'',471,25,220000
78,Sawyer,5,1993,'\'(3.7-inf)\'',570,1461,3,1721,1721,4,7,1,RFn,'\'(1.6-2]\'',440,96,180000
80,NWAmes,7,1970,'\'(3.7-inf)\'',0,1304,3,1682,1682,4,7,1,Unf,'\'(1.6-2]\'',530,0,174000
69,NAmes,5,1967,'\'(3.7-inf)\'',695,1214,4,1214,1214,4,5,1,RFn,'\'(0.8-1.2]\'',318,111,143000
82,Mitchel,7,1989,'\'(3.7-inf)\'',0,1907,3,1959,1959,4,9,0,Unf,'\'(2.8-3.2]\'',766,0,171000
73,CollgCr,8,2000,'\'(2.8-3.1]\'',668,1004,1,1004,1852,3,7,2,Fin,'\'(2.8-3.2]\'',660,106,230000
65,CollgCr,6,1997,'\'(3.7-inf)\'',821,928,1,928,1764,3,7,0,RFn,'\'(1.6-2]\'',470,99,231500
70,NAmes,4,1971,'\'(3.7-inf)\'',432,864,4,864,864,4,5,1,'No garage','\'(-inf-0.4]\'',0,0,115000
78,CollgCr,7,2005,'\'(2.8-3.1]\'',1300,1734,1,1734,1734,3,7,0,Fin,'\'(1.6-2]\'',660,24,260000
71,NAmes,5,1952,'\'(3.7-inf)\'',507,910,2,910,1385,4,6,0,Unf,'\'(1.6-2]\'',720,0,166000
78,CollgCr,7,1999,'\'(2.8-3.1]\'',679,1490,1,1501,1501,3,6,0,RFn,'\'(1.6-2]\'',577,29,204000
70,Sawyer,5,1963,'\'(3.7-inf)\'',1332,1728,4,1728,1728,4,10,0,Unf,'\'(1.6-2]\'',504,0,125000
24,Edwards,6,2006,'\'(2.8-3.1]\'',0,970,1,970,1709,3,7,0,Unf,'\'(1.6-2]\'',380,40,130000
51,BrkSide,5,1993,'\'(3.7-inf)\'',209,715,4,875,875,4,5,0,Unf,'\'(0.8-1.2]\'',180,0,105000
69,Gilbert,7,2001,'\'(2.8-3.1]\'',0,884,1,884,2035,3,8,1,Fin,'\'(1.6-2]\'',434,48,222500
63,SawyerW,7,2005,'\'(3.7-inf)\'',680,1080,1,1080,1080,3,6,0,'No garage','\'(-inf-0.4]\'',0,0,141000
69,BrkSide,5,1950,'\'(3.7-inf)\'',0,896,3,896,1344,4,7,0,Unf,'\'(0.8-1.2]\'',240,114,115000
120,CollgCr,5,1975,'\'(3.7-inf)\'',716,969,4,969,969,4,5,0,Unf,'\'(1.6-2]\'',440,0,122000
107,NridgHt,8,2008,'\'(2.8-3.1]\'',1400,1710,1,1710,1710,3,6,1,RFn,'\'(2.8-3.2]\'',866,102,372402
69,NWAmes,6,1971,'\'(3.7-inf)\'',416,825,3,1097,1993,4,8,1,RFn,'\'(1.6-2]\'',495,66,190000
69,ClearCr,6,1975,'\'(3.7-inf)\'',429,1602,3,1252,1252,4,4,1,RFn,'\'(1.6-2]\'',564,0,235000
84,OldTown,6,1950,'\'(3.7-inf)\'',0,1200,4,1200,1200,4,7,0,Unf,'\'(0.8-1.2]\'',312,0,125000
60,Edwards,6,1950,'\'(3.7-inf)\'',0,572,2,572,1096,4,5,0,'No garage','\'(-inf-0.4]\'',0,8,79000
60,NAmes,5,1950,'\'(3.7-inf)\'',0,0,4,1040,1040,4,5,0,Unf,'\'(1.6-2]\'',625,0,109500
92,Timber,8,2010,'\'(2.8-3.1]\'',0,774,1,774,1968,1,8,1,Fin,'\'(2.8-3.2]\'',680,75,269500
100,Somerst,7,2005,'\'(2.8-3.1]\'',222,991,1,991,1947,3,8,1,RFn,'\'(1.6-2]\'',678,136,254900
134,Gilbert,7,2006,'\'(2.8-3.1]\'',57,1392,1,1392,2462,3,9,1,RFn,'\'(1.6-2]\'',576,132,320000
69,Veenker,6,1984,'\'(3.7-inf)\'',660,1232,4,1232,1232,4,6,0,Unf,'\'(1.6-2]\'',516,0,162500
95,NridgHt,7,2005,'\'(2.8-3.1]\'',1201,1541,1,1541,1541,3,7,1,RFn,'\'(1.6-2]\'',532,70,220000
55,OldTown,4,1956,'\'(3.7-inf)\'',0,882,1,882,882,4,4,0,'No garage','\'(-inf-0.4]\'',0,0,103200
40,OldTown,6,2004,'\'(3.7-inf)\'',370,1149,3,1149,1616,3,5,0,Unf,'\'(0.8-1.2]\'',216,0,152000
